Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
Fisker Ocean Extreme,490 km,"106,5 kWh",217 Wh/km,1.820 kg,135 kW,2.526 kg,"3,9 sec",528 km,€132 /km,476 L,"€63,590","€63,590","£57,900"
Skoda Enyaq Coupe RS,450 km,"77,0 kWh",171 Wh/km,1.200 kg,120 kW,2.258 kg,"5,5 sec",493 km,€140 /km,570 L,"€63,300","€62,690","£54,820"
GWM ORA 07 Pure,350 km,"64,3 kWh",184 Wh/km,0 kg,75 kW,2.065 kg,"8,2 sec",339 km,€120 /km,333 L,"€41,990",N/A,N/A
Ford Mustang Mach-E SR RWD,385 km,"72,6 kWh",189 Wh/km,750 kg,95 kW,2.166 kg,"5,9 sec",405 km,€139 /km,422 L,"€55,800","€46,300","£50,830"
BMW i5 xDrive40 Sedan,465 km,"81,2 kWh",175 Wh/km,2.000 kg,136 kW,2.345 kg,"5,4 sec",535 km,€169 /km,490 L,"€75,600","€81,270",N/A
BMW i5 M60 xDrive Sedan,430 km,"81,2 kWh",189 Wh/km,2.000 kg,136 kW,2.370 kg,"3,8 sec",488 km,€243 /km,490 L,"€99,500","€109,463",N/A
Porsche Taycan Plus,475 km,"83,7 kWh",176 Wh/km,0 kg,216 kW,2.205 kg,"5,4 sec",605 km,€200 /km,491 L,"€94,123","€99,544","£79,549"
Mercedes-Benz EQS AMG 53 4MATIC+,540 km,"107,8 kWh",200 Wh/km,750 kg,173 kW,2.655 kg,"3,4 sec",591 km,€320 /km,610 L,"€155,009","€176,608","£161,860"
Mercedes-Benz EQS SUV 580 4MATIC,485 km,"108,4 kWh",224 Wh/km,1.800 kg,173 kW,2.810 kg,"4,6 sec",521 km,€323 /km,645 L,"€135,434","€173,825","£139,470"
Genesis GV70 Electrified Sport,350 km,"74,0 kWh",211 Wh/km,1.800 kg,190 kW,2.310 kg,"4,2 sec",432 km,€203 /km,528 L,"€67,300",N/A,"£65,105"
Skywell BE11 Long Range,390 km,"81,0 kWh",208 Wh/km,unknown,50 kW,1.930 kg,"9,6 sec",341 km,€118 /km,467 L,N/A,N/A,"£39,995"
Mitsubishi i-MiEV ,85 km,"14,5 kWh",171 Wh/km,0 kg,30 kW,1.185 kg,"15,9 sec",98 km,€342 /km,166 L,"€29,393","€30,085","£24,054"
Fiat 500e 3+1 42 kWh,235 km,"37,3 kWh",159 Wh/km,0 kg,67 kW,1.400 kg,"9,0 sec",258 km,€154 /km,185 L,"€36,990","€35,490",N/A
DS 3 Crossback E-Tense,265 km,"46,3 kWh",175 Wh/km,0 kg,78 kW,1.598 kg,"8,7 sec",288 km,€149 /km,350 L,"€39,440","€38,990","£34,770"
Audi Q8 e-tron Sportback 50 quattro,445 km,"89,0 kWh",200 Wh/km,1.800 kg,146 kW,2.585 kg,"6,0 sec",472 km,€177 /km,590 L,"€78,150","€73,785","£73,215"
GWM ORA 07 GT,430 km,"83,5 kWh",194 Wh/km,0 kg,80 kW,2.210 kg,"4,5 sec",389 km,€124 /km,333 L,"€53,490",N/A,N/A
Mini Cooper JCW,290 km,"49,2 kWh",170 Wh/km,0 kg,75 kW,1.730 kg,"5,9 sec",308 km,€156 /km,200 L,"€40,650","€50,490","£39,000"
Tesla Model S 70,340 km,"66,5 kWh",196 Wh/km,unknown,95 kW,2.074 kg,"5,8 sec",360 km,€231 /km,895 L,"€78,000","€79,200",N/A
Tesla Model X P90D,375 km,"85,5 kWh",228 Wh/km,unknown,90 kW,2.514 kg,"4,0 sec",366 km,€353 /km,unknown,"€131,300","€133,500",N/A
Renault Zoe R90,255 km,"41,0 kWh",161 Wh/km,0 kg,0 kW,1.548 kg,"13,2 sec",182 km,€131 /km,338 L,"€34,100","€32,890",N/A
Volkswagen ID.4 GTX,400 km,"77,0 kWh",193 Wh/km,1.200 kg,115 kW,2.224 kg,"6,2 sec",434 km,€135 /km,543 L,"€50,415","€54,990","£49,025"
GWM ORA 03 63 kWh,340 km,"59,3 kWh",174 Wh/km,0 kg,55 kW,1.615 kg,"8,2 sec",313 km,€107 /km,228 L,"€32,490",N/A,"£34,995"
Porsche Taycan 4S Cross Turismo,420 km,"83,7 kWh",199 Wh/km,0 kg,216 kW,2.320 kg,"4,1 sec",531 km,€269 /km,530 L,"€114,222","€119,700","£91,000"
Audi e-tron S ,320 km,"86,5 kWh",270 Wh/km,1.800 kg,146 kW,2.730 kg,"4,5 sec",332 km,€294 /km,660 L,"€93,800","€86,415","£88,435"
Lotus Eletre S,480 km,"109,0 kWh",227 Wh/km,2.250 kg,259 kW,2.595 kg,"4,5 sec",593 km,€255 /km,657 L,"€121,990","€124,090","£105,805"
Maserati GranCabrio Folgore,395 km,"83,0 kWh",210 Wh/km,unknown,190 kW,2.415 kg,"2,8 sec",489 km,€530 /km,151 L,"€206,713","€208,250","£185,610"
Ford Mustang Mach-E SR RWD,365 km,"68,0 kWh",186 Wh/km,750 kg,78 kW,2.044 kg,"6,9 sec",364 km,€134 /km,422 L,"€47,500","€50,425","£42,530"
Audi e-tron 55 quattro,365 km,"86,5 kWh",237 Wh/km,1.800 kg,146 kW,2.595 kg,"5,7 sec",384 km,€213 /km,660 L,"€79,445","€71,500","£71,500"
Mercedes-Benz EQE 350 4MATIC,515 km,"90,6 kWh",176 Wh/km,1.700 kg,141 kW,2.475 kg,"6,3 sec",570 km,€148 /km,430 L,"€74,149","€78,791",N/A
Ford Mustang Mach-E ER AWD,430 km,"88,0 kWh",205 Wh/km,750 kg,86 kW,2.257 kg,"5,8 sec",401 km,€154 /km,422 L,"€63,700","€67,640","£58,230"
Opel Mokka-e ,255 km,"46,3 kWh",182 Wh/km,0 kg,78 kW,1.598 kg,"9,0 sec",275 km,€135 /km,310 L,"€34,110","€34,399","£30,540"
Opel Combo-e Life 50 kWh,205 km,"46,3 kWh",226 Wh/km,750 kg,78 kW,1.739 kg,"11,7 sec",221 km,€198 /km,571 L,"€43,050","€39,434","£34,085"
Opel Vivaro-e Combi M 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"13,3 sec",252 km,€215 /km,507 L,"€56,942","€57,123",N/A
Fisker Ocean Ultra,510 km,"106,5 kWh",209 Wh/km,1.820 kg,135 kW,2.400 kg,"4,2 sec",551 km,€115 /km,476 L,"€58,900","€58,990","£50,900"
Skoda Enyaq RS,435 km,"77,0 kWh",177 Wh/km,1.200 kg,120 kW,2.251 kg,"5,5 sec",480 km,€140 /km,585 L,"€61,050",N/A,"£53,120"
Porsche Taycan 4 Cross Turismo,440 km,"83,7 kWh",190 Wh/km,0 kg,216 kW,2.320 kg,"5,1 sec",557 km,€238 /km,530 L,"€103,254","€109,064","£88,200"
Volvo EX40 Twin Motor Performance,380 km,"79,0 kWh",208 Wh/km,1.800 kg,125 kW,2.184 kg,"4,6 sec",419 km,€161 /km,441 L,"€62,890","€59,495",N/A
Skoda Enyaq Coupe 60,370 km,"59,0 kWh",159 Wh/km,1.000 kg,105 kW,2.006 kg,"8,1 sec",426 km,€124 /km,570 L,"€46,850","€44,990",N/A
Volkswagen ID.3 Pro S - 4 Seats,455 km,"77,0 kWh",169 Wh/km,0 kg,120 kW,1.933 kg,"7,9 sec",499 km,€108 /km,385 L,"€47,595","€43,990","£47,990"
Lotus Emeya S,520 km,"98,9 kWh",190 Wh/km,2.250 kg,240 kW,2.550 kg,"4,2 sec",665 km,€245 /km,543 L,"€126,950","€130,585","£108,755"
Mercedes-Benz EQA 300 4MATIC,350 km,"66,5 kWh",190 Wh/km,1.800 kg,100 kW,2.110 kg,"7,7 sec",359 km,€165 /km,340 L,"€53,520","€58,959","£53,010"
DS N°8 FWD,425 km,"74,0 kWh",174 Wh/km,1.460 kg,100 kW,2.132 kg,"7,7 sec",456 km,€136 /km,620 L,"€57,700","€57,000","£50,790"
Renault Zoe Q90,245 km,"41,0 kWh",167 Wh/km,0 kg,33 kW,1.555 kg,"13,5 sec",224 km,€126 /km,338 L,N/A,"€33,590","£24,520"
Ford Mustang Mach-E ER AWD,440 km,"91,0 kWh",207 Wh/km,1.500 kg,86 kW,2.257 kg,"5,8 sec",410 km,€169 /km,422 L,"€77,200","€70,940","£65,405"
Ford Mustang Mach-E SR RWD,380 km,"72,6 kWh",191 Wh/km,750 kg,95 kW,2.179 kg,"7,3 sec",401 km,€141 /km,422 L,"€55,800","€46,300","£50,830"
Mercedes-Benz EQE SUV AMG 43 4MATIC,425 km,"90,6 kWh",213 Wh/km,1.800 kg,141 kW,2.600 kg,"4,3 sec",460 km,€301 /km,520 L,"€124,920","€130,791",N/A
Audi Q4 Sportback e-tron 55 quattro,415 km,"77,0 kWh",186 Wh/km,1.200 kg,120 kW,2.235 kg,"5,4 sec",457 km,€157 /km,535 L,"€61,000","€66,665","£58,625"
Toyota Proace City Verso Electric L1 50 kWh,235 km,"50,0 kWh",213 Wh/km,750 kg,80 kW,1.811 kg,"11,7 sec",246 km,€170 /km,775 L,"€40,960","€41,995","£31,849"
Volvo C40 Recharge Pure Electric,335 km,"67,0 kWh",200 Wh/km,1.500 kg,116 kW,2.045 kg,"7,4 sec",358 km,€151 /km,450 L,"€48,850","€48,495","£47,100"
Ford Mustang Mach-E GT,425 km,"91,0 kWh",214 Wh/km,750 kg,115 kW,2.348 kg,"3,5 sec",433 km,€182 /km,422 L,"€77,300","€68,400","£74,540"
Porsche Taycan 4 Plus,565 km,"97,0 kWh",172 Wh/km,0 kg,240 kW,2.325 kg,"4,6 sec",719 km,€202 /km,491 L,"€111,924","€116,562",N/A
VinFast VF 8 Eco Extended Range,405 km,"87,7 kWh",217 Wh/km,1.800 kg,120 kW,2.530 kg,"5,9 sec",416 km,€128 /km,376 L,"€52,990","€50,690",N/A
Porsche Taycan 4S,490 km,"82,3 kWh",168 Wh/km,0 kg,195 kW,2.245 kg,"3,7 sec",611 km,€244 /km,491 L,"€120,900","€126,800","£95,900"
Peugeot iOn ,85 km,"14,5 kWh",171 Wh/km,0 kg,30 kW,1.140 kg,"15,9 sec",101 km,€250 /km,166 L,"€21,800","€22,360","£16,995"
Polestar 2 Standard Range Single Motor,380 km,"67,0 kWh",176 Wh/km,1.500 kg,116 kW,2.013 kg,"7,4 sec",415 km,€127 /km,440 L,"€47,295","€48,200","£43,150"
Mercedes-Benz EQE AMG 53 4MATIC+,450 km,"90,6 kWh",201 Wh/km,750 kg,141 kW,2.540 kg,"3,5 sec",491 km,€275 /km,430 L,"€110,706","€128,613","£114,750"
Smart #3 Pro,265 km,"47,0 kWh",177 Wh/km,0 kg,65 kW,1.855 kg,"5,9 sec",297 km,€144 /km,385 L,"€38,490","€38,395","£32,950"
Mercedes-Benz eVito Tourer Long 90 kWh,320 km,"90,0 kWh",281 Wh/km,0 kg,96 kW,2.630 kg,"12,1 sec",297 km,€245 /km,990 L,"€72,043","€84,773",N/A
Volkswagen ID.5 Pure,320 km,"52,0 kWh",163 Wh/km,1.000 kg,87 kW,1.970 kg,"8,9 sec",359 km,€145 /km,549 L,"€45,270","€46,990","£41,080"
Fiat 500e 3+1 24 kWh,135 km,"21,3 kWh",158 Wh/km,0 kg,40 kW,1.290 kg,"9,0 sec",153 km,€230 /km,185 L,N/A,"€30,990",N/A
Ford Mustang Mach-E SR AWD,335 km,"68,0 kWh",203 Wh/km,750 kg,78 kW,2.138 kg,"6,3 sec",337 km,€171 /km,422 L,"€54,750","€58,165","£50,850"
Seres 3 ,255 km,"50,0 kWh",196 Wh/km,0 kg,50 kW,1.765 kg,"8,9 sec",231 km,€149 /km,318 L,N/A,"€37,995",N/A
Ford Mustang Mach-E ER RWD,480 km,"91,0 kWh",190 Wh/km,1.500 kg,115 kW,2.150 kg,"7,0 sec",491 km,€126 /km,422 L,"€58,500","€54,400","£59,830"
Smart #1 Pure,250 km,"47,0 kWh",188 Wh/km,0 kg,65 kW,1.855 kg,"6,7 sec",280 km,€140 /km,338 L,"€34,990","€34,900",N/A
Nissan e-NV200 Evalia ,105 km,"22,0 kWh",210 Wh/km,unknown,36 kW,1.614 kg,"14,0 sec",112 km,€332 /km,2.000 L,"€37,602","€38,950","£24,407"
Peugeot e-Expert Combi Standard 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"14,3 sec",252 km,€218 /km,603 L,"€57,940","€57,367",N/A
Volkswagen ID.5 Pro Performance,430 km,"77,0 kWh",179 Wh/km,1.000 kg,125 kW,2.118 kg,"8,4 sec",454 km,€128 /km,549 L,"€48,970","€55,690","£52,185"
Volvo EC40 Twin Motor Performance,400 km,"79,0 kWh",198 Wh/km,1.800 kg,125 kW,2.191 kg,"4,6 sec",443 km,€157 /km,435 L,"€64,390","€60,995",N/A
JAC iEV7s ,225 km,"39,0 kWh",173 Wh/km,unknown,30 kW,1.535 kg,"12,0 sec",200 km,€133 /km,250 L,N/A,"€29,900",N/A
Mercedes-Benz EQS 450 4MATIC,605 km,"107,8 kWh",178 Wh/km,750 kg,173 kW,2.615 kg,"5,6 sec",672 km,€201 /km,610 L,"€113,359","€129,902",N/A
Audi Q4 Sportback e-tron 50 quattro,400 km,"76,6 kWh",192 Wh/km,1.200 kg,115 kW,2.215 kg,"6,2 sec",442 km,€167 /km,535 L,"€59,900","€73,065","£58,510"
Porsche Taycan GTS,535 km,"97,0 kWh",181 Wh/km,0 kg,240 kW,2.360 kg,"3,3 sec",675 km,€272 /km,450 L,"€147,700","€154,233","£117,500"
Alpine A290 Electric 180 hp,310 km,"52,0 kWh",168 Wh/km,500 kg,70 kW,1.579 kg,"7,4 sec",318 km,€125 /km,326 L,"€38,700","€38,800","£33,500"
Audi SQ6 e-tron Sportback ,495 km,"94,9 kWh",192 Wh/km,2.400 kg,200 kW,2.400 kg,"4,3 sec",587 km,€207 /km,575 L,"€96,200","€101,990","£95,450"
Mercedes-Benz eVito Tourer Extra-Long 90 kWh,305 km,"90,0 kWh",295 Wh/km,0 kg,96 kW,2.555 kg,"12,0 sec",279 km,€264 /km,1.390 L,"€65,140","€80,253","£83,850"
GWM ORA 07 Pro,350 km,"64,3 kWh",184 Wh/km,0 kg,75 kW,2.065 kg,"8,2 sec",339 km,€127 /km,333 L,"€44,490",N/A,N/A
Toyota PROACE Verso L 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"13,1 sec",250 km,€275 /km,989 L,"€65,385","€77,445",N/A
Aiways U6 ,350 km,"60,0 kWh",171 Wh/km,unknown,78 kW,1.790 kg,"7,0 sec",349 km,€138 /km,472 L,"€47,588","€48,975",N/A
Abarth 600e Scorpionissima,280 km,"50,8 kWh",181 Wh/km,0 kg,79 kW,1.700 kg,"5,9 sec",293 km,€175 /km,360 L,"€48,990","€49,990","£41,975"
Kia e-Niro 39 kWh,235 km,"39,2 kWh",167 Wh/km,0 kg,37 kW,1.667 kg,"9,8 sec",215 km,€159 /km,451 L,"€38,290","€35,995","£32,895"
Elaris BEO 86 kWh,390 km,"81,0 kWh",208 Wh/km,unknown,65 kW,1.955 kg,"9,5 sec",357 km,€136 /km,467 L,"€53,090",N/A,N/A
Mercedes-Benz EQE AMG 43 4MATIC,455 km,"90,6 kWh",199 Wh/km,750 kg,141 kW,2.525 kg,"4,2 sec",491 km,€236 /km,430 L,"€103,827","€111,068",N/A
Peugeot e-208 51 kWh,305 km,"48,1 kWh",158 Wh/km,0 kg,80 kW,1.530 kg,"8,2 sec",331 km,€133 /km,265 L,"€41,850","€39,870","£34,955"
Opel Mokka-e 54 kWh,290 km,"50,8 kWh",175 Wh/km,0 kg,85 kW,1.598 kg,"9,0 sec",304 km,€144 /km,310 L,"€44,720","€37,999","£37,260"
BMW i5 M60 xDrive Touring,415 km,"81,2 kWh",196 Wh/km,2.000 kg,136 kW,2.425 kg,"3,9 sec",479 km,€263 /km,570 L,"€101,500","€111,520","£99,995"
Peugeot e-Rifter M 50 kWh,235 km,"50,0 kWh",213 Wh/km,750 kg,80 kW,1.830 kg,"11,7 sec",246 km,€168 /km,775 L,"€38,440","€42,918","£32,230"
Mini Aceman JCW,280 km,"49,2 kWh",176 Wh/km,750 kg,75 kW,1.825 kg,"6,4 sec",294 km,€170 /km,300 L,"€43,150","€52,490","£40,800"
Smart EQ fortwo coupe,100 km,"16,7 kWh",167 Wh/km,0 kg,0 kW,1.085 kg,"11,5 sec",71 km,€221 /km,260 L,"€21,940","€23,995","£17,695"
Smart #1 Pro,250 km,"47,0 kWh",188 Wh/km,0 kg,65 kW,1.855 kg,"6,7 sec",280 km,€149 /km,338 L,"€37,490","€37,400","£31,950"
Skoda Enyaq 50,310 km,"52,0 kWh",168 Wh/km,1.000 kg,90 kW,1.976 kg,"9,1 sec",351 km,€138 /km,585 L,N/A,"€42,990","£36,970"
Opel Zafira-e Life L3 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.240 kg,"14,2 sec",246 km,€221 /km,989 L,"€54,550","€58,963","£51,095"
Nissan Townstar EV Passenger L2,220 km,"45,0 kWh",205 Wh/km,1.500 kg,50 kW,1.992 kg,"13,3 sec",218 km,€195 /km,819 L,N/A,"€42,790",N/A
Toyota Proace City Verso Electric L1 50 kWh,210 km,"46,3 kWh",220 Wh/km,750 kg,78 kW,1.739 kg,"11,2 sec",224 km,€194 /km,597 L,"€37,800","€45,495","£34,113"
Tesla Model X Standard Range,355 km,"72,5 kWh",204 Wh/km,2.250 kg,80 kW,2.427 kg,"4,8 sec",346 km,€252 /km,unknown,"€91,700","€88,120","£76,550"
Jaguar I-Pace EV320,380 km,"84,7 kWh",223 Wh/km,750 kg,85 kW,2.244 kg,"6,4 sec",354 km,€186 /km,505 L,"€75,351","€66,060",N/A
Skoda Enyaq Coupe iV 80,445 km,"77,0 kWh",173 Wh/km,1.000 kg,125 kW,2.119 kg,"8,7 sec",473 km,€118 /km,575 L,"€54,400","€51,990","£44,825"
Fiat 500e Cabrio 24 kWh,135 km,"21,3 kWh",158 Wh/km,0 kg,40 kW,1.281 kg,"9,0 sec",150 km,€250 /km,185 L,"€35,490","€31,990",N/A
ORA Funky Cat 48 kWh,260 km,"45,4 kWh",175 Wh/km,0 kg,45 kW,1.615 kg,"8,3 sec",247 km,€146 /km,228 L,"€38,990",N/A,"£31,995"
Citroen e-C4 54 kWh,330 km,"50,8 kWh",154 Wh/km,0 kg,78 kW,1.636 kg,"9,2 sec",355 km,€118 /km,380 L,"€35,925","€39,455","£35,800"
Citroen e-Berlingo XL 50 kWh,230 km,"50,0 kWh",217 Wh/km,750 kg,80 kW,1.881 kg,"11,7 sec",242 km,€171 /km,1.050 L,"€37,940","€43,178","£31,890"
Tesla Model S 90D,445 km,"85,5 kWh",192 Wh/km,unknown,90 kW,2.184 kg,"4,4 sec",443 km,€222 /km,895 L,"€98,000","€99,600",N/A
Mercedes-Benz EQE AMG 43 4MATIC,450 km,"90,6 kWh",201 Wh/km,750 kg,141 kW,2.535 kg,"4,2 sec",491 km,€240 /km,430 L,"€104,756","€111,068",N/A
Peugeot Partner Tepee Electric,100 km,"20,5 kWh",205 Wh/km,0 kg,30 kW,1.679 kg,"19,5 sec",105 km,€305 /km,544 L,N/A,"€30,470",N/A
Smart #1 Pulse,325 km,"62,0 kWh",191 Wh/km,1.600 kg,100 kW,1.975 kg,"4,5 sec",357 km,€141 /km,328 L,"€46,490","€45,400",N/A
Skoda Enyaq Coupe 85x,455 km,"77,0 kWh",169 Wh/km,1.200 kg,120 kW,2.230 kg,"6,6 sec",503 km,€122 /km,570 L,"€53,400",N/A,"£50,305"
Tesla Model S 60D,345 km,"62,0 kWh",180 Wh/km,unknown,95 kW,2.183 kg,"5,4 sec",376 km,€238 /km,895 L,"€74,719","€89,385",N/A
Tesla Model X Performance,430 km,"95,0 kWh",221 Wh/km,2.250 kg,110 kW,2.552 kg,"2,9 sec",448 km,€250 /km,unknown,"€102,990","€107,005","£97,980"
Mercedes-Benz EQS SUV 500 4MATIC,530 km,"118,0 kWh",223 Wh/km,1.800 kg,160 kW,2.840 kg,"5,3 sec",543 km,€257 /km,645 L,"€124,545","€148,173",N/A
MG MG5 EV Long Range,340 km,"57,4 kWh",169 Wh/km,0 kg,53 kW,1.625 kg,"7,7 sec",309 km,€98 /km,464 L,N/A,N/A,"£28,995"
Volvo XC40 Recharge Twin Pure Electric,350 km,"75,0 kWh",214 Wh/km,1.800 kg,108 kW,2.188 kg,"4,9 sec",368 km,€171 /km,450 L,"€56,150","€57,495","£57,000"
Citroen e-Jumpy Combi M 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"13,3 sec",252 km,€217 /km,507 L,"€57,940","€57,022",N/A
Mercedes-Benz EQS 450 4MATIC,610 km,"108,4 kWh",178 Wh/km,750 kg,173 kW,2.630 kg,"5,6 sec",677 km,€189 /km,620 L,"€113,359","€116,955",N/A
Porsche Taycan 4 Cross Turismo,510 km,"97,0 kWh",190 Wh/km,0 kg,240 kW,2.355 kg,"4,7 sec",639 km,€225 /km,530 L,"€113,100","€119,400","£96,800"
Volkswagen ID. Buzz NWB GTX,335 km,"79,0 kWh",236 Wh/km,1.800 kg,135 kW,2.500 kg,"6,5 sec",368 km,€220 /km,1.121 L,"€73,102","€69,990","£67,435"
Toyota Proace City Verso Electric L2 50 kWh,230 km,"50,0 kWh",217 Wh/km,750 kg,80 kW,1.881 kg,"11,7 sec",242 km,€182 /km,1.050 L,"€42,380","€45,225","£33,129"
Hyundai IONIQ 5 Standard Range AWD,290 km,"54,0 kWh",186 Wh/km,unknown,140 kW,2.015 kg,"6,1 sec",359 km,€158 /km,555 L,"€45,900",N/A,N/A
Mercedes-Benz EQS SUV 450+,500 km,"108,4 kWh",217 Wh/km,750 kg,173 kW,2.695 kg,"6,7 sec",535 km,€236 /km,645 L,"€110,801","€125,425",N/A
Mercedes-Benz EQE 500 4MATIC,505 km,"90,6 kWh",179 Wh/km,1.700 kg,141 kW,2.490 kg,"4,7 sec",555 km,€177 /km,430 L,"€88,215","€87,231","£80,610"
Porsche Taycan GTS Sport Turismo,425 km,"83,7 kWh",197 Wh/km,0 kg,216 kW,2.385 kg,"3,7 sec",542 km,€327 /km,530 L,"€140,858","€147,563","£111,200"
Ford Mustang Mach-E Rally,410 km,"91,0 kWh",222 Wh/km,750 kg,115 kW,2.348 kg,"3,6 sec",411 km,€195 /km,422 L,"€80,300","€71,400","£76,790"
Porsche Taycan 4,490 km,"82,3 kWh",168 Wh/km,0 kg,195 kW,2.245 kg,"4,6 sec",611 km,€221 /km,491 L,"€106,200","€110,433",N/A
Tesla Model S 70,345 km,"69,0 kWh",200 Wh/km,unknown,95 kW,2.102 kg,"5,8 sec",362 km,€242 /km,895 L,"€82,700","€84,100",N/A
DS 3 Crossback E-Tense,255 km,"46,3 kWh",182 Wh/km,0 kg,78 kW,1.598 kg,"8,7 sec",278 km,€150 /km,350 L,"€38,690","€39,990","£31,500"
Tesla Model X Long Range,435 km,"95,0 kWh",218 Wh/km,2.250 kg,100 kW,2.533 kg,"4,9 sec",434 km,€216 /km,unknown,"€91,000","€95,820","£82,350"
Volkswagen ID.3 Pro S - 5 Seats,450 km,"77,0 kWh",171 Wh/km,0 kg,115 kW,1.928 kg,"7,9 sec",488 km,€98 /km,385 L,"€43,720","€44,490",N/A
Mercedes-Benz EQE 350 4MATIC,505 km,"90,6 kWh",179 Wh/km,750 kg,141 kW,2.465 kg,"6,3 sec",549 km,€158 /km,430 L,"€73,363","€86,263",N/A
Porsche Taycan Plus Sport Turismo,530 km,"97,0 kWh",183 Wh/km,0 kg,240 kW,2.270 kg,"4,8 sec",667 km,€206 /km,530 L,"€108,124","€114,144","£91,754"
Volvo XC40 Recharge Twin Pure Electric,335 km,"75,0 kWh",224 Wh/km,1.800 kg,108 kW,2.188 kg,"4,9 sec",348 km,€172 /km,450 L,"€59,250","€56,450","£49,950"
Smart ForFour Electric Drive,95 km,"16,7 kWh",176 Wh/km,0 kg,0 kW,1.200 kg,"12,7 sec",66 km,€232 /km,185 L,"€22,600","€24,050","£16,915"
Kia e-Soul 39 kWh,230 km,"39,2 kWh",170 Wh/km,0 kg,37 kW,1.610 kg,"9,9 sec",209 km,€156 /km,315 L,"€38,090","€33,495",N/A
Citroen e-C4 ,280 km,"46,3 kWh",165 Wh/km,0 kg,78 kW,1.616 kg,"9,7 sec",311 km,€124 /km,380 L,"€34,640","€33,990","£30,895"
Opel Combo-e Life 50 kWh,235 km,"50,0 kWh",213 Wh/km,750 kg,80 kW,1.811 kg,"11,3 sec",246 km,€161 /km,775 L,"€38,600",N/A,"£32,180"
Peugeot e-Rifter Long 50 kWh,200 km,"46,3 kWh",232 Wh/km,750 kg,78 kW,1.841 kg,"11,7 sec",214 km,€207 /km,806 L,"€42,440","€41,430","£35,120"
Citroen e-Berlingo XL 50 kWh,205 km,"46,3 kWh",226 Wh/km,750 kg,78 kW,1.813 kg,"11,7 sec",221 km,€204 /km,806 L,"€43,640","€43,556","£33,315"
Mercedes-Benz eVito Tourer Long 41 kWh,120 km,"35,0 kWh",292 Wh/km,0 kg,0 kW,2.260 kg,"16,0 sec",85 km,€453 /km,990 L,"€54,395","€54,377",N/A
Smart #1 Pure+,335 km,"62,0 kWh",185 Wh/km,1.600 kg,100 kW,1.863 kg,"6,7 sec",364 km,€119 /km,338 L,"€39,990","€39,900",N/A
Audi e-tron Sportback 55 quattro,380 km,"86,5 kWh",228 Wh/km,1.800 kg,146 kW,2.555 kg,"5,7 sec",399 km,€217 /km,615 L,"€81,639","€73,900","£79,900"
Ford Mustang Mach-E ER RWD,465 km,"88,0 kWh",189 Wh/km,750 kg,86 kW,2.160 kg,"7,0 sec",436 km,€120 /km,422 L,"€54,475","€58,575","£47,580"
Toyota PROACE Verso M 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"13,1 sec",252 km,€244 /km,603 L,"€64,530",N/A,N/A
Porsche Taycan Turbo,535 km,"97,0 kWh",181 Wh/km,0 kg,240 kW,2.365 kg,"2,7 sec",675 km,€320 /km,450 L,"€175,600","€183,000","£134,100"
Toyota PROACE Verso M 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,2.027 kg,"12,1 sec",191 km,€313 /km,603 L,"€58,040","€54,540",N/A
Volvo C40 Recharge Twin Pure Electric,360 km,"75,0 kWh",208 Wh/km,1.800 kg,108 kW,2.185 kg,"4,7 sec",379 km,€170 /km,450 L,"€57,650","€58,995","£58,350"
Citroen e-C4 X ,295 km,"46,3 kWh",157 Wh/km,0 kg,78 kW,1.559 kg,"10,8 sec",326 km,€116 /km,510 L,"€32,600","€35,915",N/A
Peugeot iOn ,85 km,"14,5 kWh",171 Wh/km,0 kg,30 kW,1.140 kg,"15,9 sec",101 km,€328 /km,166 L,"€29,393","€29,950","£21,216"
BMW i3s 94 Ah,160 km,"27,2 kWh",170 Wh/km,0 kg,46 kW,1.340 kg,"6,9 sec",163 km,€265 /km,260 L,"€45,750","€44,081","£32,475"
Opel Zafira-e Life L 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"13,3 sec",250 km,€266 /km,unknown,"€70,075","€68,134",N/A
Audi Q4 e-tron 45 quattro,385 km,"76,6 kWh",199 Wh/km,1.200 kg,115 kW,2.210 kg,"6,9 sec",418 km,€150 /km,520 L,"€53,990","€61,415",N/A
Ford Mustang Mach-E SR RWD,375 km,"70,0 kWh",187 Wh/km,750 kg,78 kW,2.044 kg,"6,9 sec",375 km,€156 /km,422 L,"€62,900","€53,900","£50,830"
